url,type,phase,index,title,title_len,description,desc_len,h1,schema,links_to
/,home,1,True,Alquiler de coches de lujo en Barcelona | Serres Drive,54,"Porsche 911, Mercedes-AMG G63, Lamborghini Urus, Audi RS6 y Range Rover Velar. Entrega en tu hotel o en el aeropuerto de El Prat. Reserva por WhatsApp.",151,Alquiler de coches de lujo en Barcelona,Organization;AutoRental;WebSite,/flota;/flota/porsche;/flota/lamborghini;/flota/mercedes-amg;/flota/audi;/flota/range-rover;/flota/volkswagen;/tarifas;/como-funciona;/contacto
/flota,flota,1,True,Flota: 13 coches de lujo de alquiler en Barcelona | Serres Drive,64,"Toda la flota disponible hoy: Porsche, Lamborghini, Mercedes-AMG, Audi, Range Rover y Volkswagen. Precio por día en cada ficha. Filtra por marca.",145,Flota de coches de lujo en Barcelona,ItemList;BreadcrumbList,/coches/mercedes-amg-g63;/coches/lamborghini-urus;/coches/audi-rs6-avant;/coches/porsche-911-cabrio;/coches/porsche-911-carrera-s;/coches/porsche-cayenne-hybrid;/coches/mercedes-amg-a45;/coches/audi-rs3-sportback;/coches/audi-rsq3;/coches/volkswagen-golf-r;/coches/range-rover-velar;/coches/mercedes-glc;/coches/mercedes-a200-4matic;/flota/porsche;/flota/lamborghini;/flota/mercedes-amg;/flota/audi;/flota/range-rover;/flota/volkswagen;/tarifas
/flota/porsche,brand,1,True,Alquiler Porsche en Barcelona desde 700 €/día | Serres Drive,60,"Tres Porsche de alquiler en Barcelona: 911 Cabrio (992), 911 Carrera S (991), Cayenne Hybrid. Precios por día, semana y mes. Entrega en hotel o aeropuerto por 1",160,Alquiler Porsche en Barcelona,ItemList;BreadcrumbList;FAQPage,/coches/porsche-911-cabrio;/coches/porsche-911-carrera-s;/coches/porsche-cayenne-hybrid;/flota;/tarifas;/como-funciona
/flota/lamborghini,brand,1,True,Alquiler Lamborghini en Barcelona desde 1.100 €/día,51,"Un Lamborghini de alquiler en Barcelona: Urus. Precios por día, semana y mes. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",140,Alquiler Lamborghini en Barcelona,ItemList;BreadcrumbList;FAQPage,/coches/lamborghini-urus;/flota;/tarifas;/como-funciona
/flota/mercedes-amg,brand,1,True,Alquiler Mercedes-AMG en Barcelona desde 150 €/día | Serres Drive,65,"Cuatro Mercedes-AMG de alquiler en Barcelona: G63, A45 S, GLC, A200 4Matic. Precios por día, semana y mes. Entrega en hotel o aeropuerto por 100 €. Reserva por ",160,Alquiler Mercedes-AMG en Barcelona,ItemList;BreadcrumbList;FAQPage,/coches/mercedes-amg-g63;/coches/mercedes-amg-a45;/coches/mercedes-glc;/coches/mercedes-a200-4matic;/flota;/tarifas;/como-funciona
/flota/audi,brand,1,True,Alquiler Audi en Barcelona desde 450 €/día | Serres Drive,57,"Tres Audi de alquiler en Barcelona: RS6 Avant, RS3 Sportback, RS Q3. Precios por día, semana y mes. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsAp",160,Alquiler Audi en Barcelona,ItemList;BreadcrumbList;FAQPage,/coches/audi-rs6-avant;/coches/audi-rs3-sportback;/coches/audi-rsq3;/flota;/tarifas;/como-funciona
/flota/range-rover,brand,1,True,Alquiler Range Rover en Barcelona desde 350 €/día | Serres Drive,64,"Un Range Rover de alquiler en Barcelona: Velar. Precios por día, semana y mes. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",141,Alquiler Range Rover en Barcelona,ItemList;BreadcrumbList;FAQPage,/coches/range-rover-velar;/flota;/tarifas;/como-funciona
/flota/volkswagen,brand,1,True,Alquiler Volkswagen en Barcelona desde 400 €/día | Serres Drive,63,"Un Volkswagen de alquiler en Barcelona: Golf 8.5 R. Precios por día, semana y mes. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",145,Alquiler Volkswagen en Barcelona,ItemList;BreadcrumbList;FAQPage,/coches/volkswagen-golf-r;/flota;/tarifas;/como-funciona
/coches/mercedes-amg-g63,car,1,True,Alquiler Mercedes-AMG G63 en Barcelona desde 1.000 €/día,56,"Alquila el Mercedes-AMG G63 en Barcelona: 1.000 € por día, 1.700 € dos días, 6.000 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",159,Alquiler Mercedes-AMG G63 en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/mercedes-amg;/coches/lamborghini-urus;/coches/porsche-cayenne-hybrid;/coches/range-rover-velar;/tarifas;/como-funciona;/condiciones-de-alquiler
/coches/lamborghini-urus,car,1,True,Alquiler Lamborghini Urus en Barcelona desde 1.100 €/día,56,"Alquila el Lamborghini Urus en Barcelona: 1.100 € por día, 1.900 € dos días, 6.500 € por semana. Entrega en hotel o aeropuerto por 100 €. Reserva por WhatsApp.",159,Alquiler Lamborghini Urus en Barcelona,Product;Offer;BreadcrumbList;FAQPage,/flota/lamborghini;/coches/mercedes-amg-g63;/coches/audi-rs6-avant;/coches/porsche-cayenne-hybrid;/tarifas;/como-funciona;/condiciones-de-alquiler
